element,material,synthesis_type,size_nm,precursor_conc_mM,capping_agent_pct,pH,temp_C,stirring_time_min,agitation_rpm,surface_area_m2_g,OH_stretch_present,OH_stretch_count,NH_stretch_present,NH_stretch_count,CH_stretch_present,CH_stretch_count,C=O_stretch_present,C=O_stretch_count,C=C_aromatic_present,C=C_aromatic_count,C-O_stretch_present,C-O_stretch_count,Metal_O_bond_present,Metal_O_bond_count,Fingerprint_region_present,Fingerprint_region_count,num_peaks_total,peak_min,peak_max,peak_range,mean_wavenumber,peaks_per_1000,peak_density,max_peak_intensity,catalytic_activity
Co,Metal_Oxide,Sol-Gel,6.90351197060616,141.7084604372908,0.5941869445024556,9.258183358326352,105.93893956194161,344.6297692977788,198.9562093415595,76.8287507866511,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,2,12,400,3600,3200,2000,3.0,0.00375,12,48.67079657819651
Ag,Composite,CVD,8.800740864173124,26.794138863397887,2.074792511012598,3.288964102880416,62.501893864597136,243.1470907307299,345.45974321558674,54.52698169511813,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,2,5,400,3600,3200,2000,1.25,0.0015625,5,33.25829985691956
Ni,Composite,Co-Precipitation,80.66255794518005,39.43765510916098,1.3587489336026282,8.307162192616355,214.46411356273876,161.38875958086257,413.4694747782463,10.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,14,400,3600,3200,2000,3.5,0.004375,14,1.2323110419776082
Au,Metal_Oxide,Sol-Gel,81.28520455171854,113.75412265710845,0.07464483618008833,6.123412463230961,112.54421674561634,196.98634772707987,478.5931741196712,10.0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,2,6,400,3600,3200,2000,1.5,0.001875,6,10.1982398820388
Co,Metal,Sol-Gel,26.039862271789957,116.51004896573149,3.942231303964992,4.765734741239108,144.04939634249317,157.24552393636304,797.3637530689333,16.430670389420683,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,11,400,3600,3200,2000,2.75,0.0034375,11,22.48362948277639
Ni,Metal_Oxide,CVD,62.29236387441995,61.3296822694355,4.0664210658383855,9.249557370080687,29.4745562042732,166.16163961271525,226.3599458702614,10.0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,15,400,3600,3200,2000,3.75,0.0046875,15,0.0
Pt,Metal,Co-Precipitation,45.431647364176634,142.69578676192023,1.1061453088765822,5.416735221174701,38.55712136064979,226.55348157789982,164.2663047655018,11.501595859493612,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,11,400,3600,3200,2000,2.75,0.0034375,11,22.319427006014145
Au,Metal_Oxide,Hydrothermal,64.00421205754427,140.79993207956042,0.75620125020184,11.215570430602702,159.366226632515,49.87936396286622,1123.6399990214286,10.0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,1,1,8,400,3600,3200,2000,2.0,0.0025,8,16.6513026154955
Pt,Composite,CVD,86.56216984172406,2.84904754396377,0.7228042681109859,5.682711663868754,222.826318565562,87.8744512450375,979.1075609937506,10.0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,9,400,3600,3200,2000,2.25,0.0028125,9,33.48701144667898
Cu,Carbide,Co-Precipitation,9.825929609061138,26.67685744876803,2.319735948821437,7.996625396792791,136.01406130586676,104.92305803516348,406.044295606892,49.51470809276256,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,10,400,3600,3200,2000,2.5,0.003125,10,36.52671891592013
Pd,Carbide,Sol-Gel,78.24247374686853,123.21269681089682,1.232477937178849,10.449859472864702,62.119280636139244,164.47971051185323,802.6714088027528,10.0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,2,8,400,3600,3200,2000,2.0,0.0025,8,17.481026443977523
Co,Metal,Co-Precipitation,50.31685224306185,50.94728603907524,2.556778212442505,6.619065042246449,51.128645732343,152.44898476051245,751.7415077798963,10.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,10,400,3600,3200,2000,2.5,0.003125,10,0.0
Ni,Metal,Sol-Gel,57.284440488675656,15.223939126274429,1.9242586857591988,10.457921633169242,227.45230031340787,268.3275046905928,917.3116418867063,10.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,7,400,3600,3200,2000,1.75,0.0021875,7,2.1204981018150395
Pd,Metal,CVD,66.08527328167779,117.96487698911395,1.0544515245049562,9.513267577217963,182.86851715343283,115.52919167341658,1045.2239265886196,17.78210097802487,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,11,400,3600,3200,2000,2.75,0.0034375,11,35.8281564172359
Pd,Composite,CVD,92.41706861465252,68.73294233070621,3.755958947786571,11.287793577748392,242.39399976507787,48.83380409032763,493.5272553600914,14.253409815170935,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,2,7,400,3600,3200,2000,1.75,0.0021875,7,23.475366297111222
Ni,Metal_Oxide,Green_Synthesis,7.558555448070311,74.36920722059041,0.7518194516791138,5.932511063307889,43.52843980237742,48.29594123023624,826.9151809978558,64.02254164576489,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,2,10,400,3600,3200,2000,2.5,0.003125,10,38.3369458481269
Au,Composite,Green_Synthesis,4.8886825081958705,28.76903893360952,3.994511574102186,3.9452525830211904,228.08789238026796,33.733318305193265,982.2449981300897,99.99092644162236,1,1,0,0,1,2,0,0,0,0,0,0,0,0,1,1,15,400,3600,3200,2000,3.75,0.0046875,15,79.00297267440779
Co,Carbide,Green_Synthesis,19.4696545858998,99.47336303690024,2.807231918451461,6.873145481373847,215.26727031853358,42.548582157981414,869.2237353632804,24.56014179092454,1,1,0,0,1,2,0,0,0,0,0,0,0,0,1,1,9,400,3600,3200,2000,2.25,0.0028125,9,31.63988081118238
Cu,Metal,CVD,98.67187715062018,83.13495640027003,4.160185713382221,10.072321222702243,225.96666615793458,313.3580226667589,1114.3491473880122,10.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,8,400,3600,3200,2000,2.0,0.0025,8,0.0
Pt,Metal_Oxide,Hydrothermal,72.07748400302202,31.794267730572294,0.023795200349525092,7.0539160205104965,26.296665236606398,260.0901628673164,644.1561979904585,10.0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,6,400,3600,3200,2000,1.5,0.001875,6,20.243763803952607
Ag,Carbide,CVD,62.23482966734119,51.709394757441814,3.7459425951774143,5.357891371737636,191.9282831186188,358.65728474635387,982.90465262474,10.0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,2,7,400,3600,3200,2000,1.75,0.0021875,7,12.439698477287944
Pt,Carbide,Co-Precipitation,6.609827234645294,89.93501381308963,0.2575779662555766,3.2484285981571333,148.51107568636877,36.70320028016317,1100.715537625243,79.59802575424328,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,2,13,400,3600,3200,2000,3.25,0.0040625,13,84.2650912141518
Ag,Carbide,CVD,88.15280194151055,138.8059660595781,4.750493595189104,5.817214226602446,153.96537259564445,310.1705118548554,712.758162368938,10.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,8,400,3600,3200,2000,2.0,0.0025,8,0.0
Pt,Composite,CVD,81.65017162312164,138.13607619790227,3.513697441952675,9.420430000468242,130.57044715437002,259.69858865786034,119.02288601771002,10.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,5,400,3600,3200,2000,1.25,0.0015625,5,27.151448133363004
Ni,Metal,Sol-Gel,67.15040429897432,43.897979755224966,1.60086145310679,4.328523806040629,192.10230649334935,241.31300238724268,999.8092055269377,10.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,11,400,3600,3200,2000,2.75,0.0034375,11,7.286351106049432
Cu,Carbide,Sol-Gel,35.234819917500865,110.60752568622284,1.5992524642287482,6.067914422765143,249.96384035719103,147.65560145433068,1030.6373686387656,12.18575197593531,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,10,400,3600,3200,2000,2.5,0.003125,10,16.501210944683667
Co,Metal,Sol-Gel,8.909485645689216,116.5523429980476,4.307461898593125,3.1820831553460103,184.87113083668677,154.32004688069293,539.8357268639977,56.30411053646205,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,8,400,3600,3200,2000,2.0,0.0025,8,38.838578498524086
Ag,Composite,CVD,58.843771814290406,121.51464189743642,4.514200642263294,9.495795029033921,177.56134360884766,309.0351928684004,351.9858808291118,10.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,14,400,3600,3200,2000,3.5,0.004375,14,17.921671965606624
Co,Carbide,Hydrothermal,72.53006800316207,86.04358042797053,4.457866405193719,10.926147423460577,172.2484860280182,265.44967982622586,1175.9641936362696,13.15882107918608,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,5,400,3600,3200,2000,1.25,0.0015625,5,8.25664858684476
Co,Composite,Co-Precipitation,11.235554346770249,2.5656917168385824,4.0437014628316374,8.116754859192309,181.42262571565547,251.20447151626263,706.7859406322102,40.13049453090648,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,5,400,3600,3200,2000,1.25,0.0015625,5,36.00909769162861
Co,Composite,Co-Precipitation,64.10923066025259,114.48976653149103,4.095160104181865,3.2328489530336793,101.97530517193731,40.11427838842651,667.7976540608157,10.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,6,400,3600,3200,2000,1.5,0.001875,6,0.0
Fe,Metal,Hydrothermal,30.06387465294154,16.883020024573156,2.8638395143877977,4.958627812945798,97.04944232494421,90.82547976077453,1140.681723662645,17.08257888409431,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,13,400,3600,3200,2000,3.25,0.0040625,13,0.0
Au,Carbide,Hydrothermal,76.89593367954154,18.41383654683987,0.14115526474534068,6.946222217654354,201.47604511086394,347.6660718782133,548.9068235256057,10.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,7,400,3600,3200,2000,1.75,0.0021875,7,17.501805082783637
Pt,Composite,Co-Precipitation,54.882353358980026,91.23809559427676,0.43386641029497464,8.28823098505337,36.94480390441724,179.94251243076195,1032.9495980471045,13.383196674136581,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,13,400,3600,3200,2000,3.25,0.0040625,13,18.013886726205065
Co,Carbide,Green_Synthesis,14.645605205422797,147.54455763276994,3.2477662470310005,7.466487082234241,195.83074109576137,287.85976597399855,870.7161931587203,34.54765871142688,1,1,0,0,1,2,0,0,0,0,0,0,0,0,1,1,11,400,3600,3200,2000,2.75,0.0034375,11,36.09133124628936
Pt,Metal,Sol-Gel,53.59890587785713,37.13838151660418,2.005825801635135,11.242794417701443,208.1143566631529,158.4773246533997,1164.4869093361901,15.728461190767444,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,11,400,3600,3200,2000,2.75,0.0034375,11,39.27909426500783
Co,Composite,Sol-Gel,40.782212609938426,97.22582112762993,2.8365481542079305,11.447726847613549,142.35954090691024,282.22654945724673,571.5160368064874,11.562317577403467,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,14,400,3600,3200,2000,3.5,0.004375,14,7.262455436825562
Ag,Metal,Co-Precipitation,19.674884891601888,46.24439321490255,1.1553881131106436,3.9643721628524897,229.78332146792843,69.34014747481865,1098.388477148532,22.833131402248508,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,12,400,3600,3200,2000,3.0,0.00375,12,33.57194768461631
Au,Carbide,Hydrothermal,84.46854095808807,134.91019092796893,3.24708586821596,4.245517903866048,131.44467335811652,43.90224647700821,725.7687888749971,10.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,8,400,3600,3200,2000,2.0,0.0025,8,10.553357343512765
Au,Carbide,Green_Synthesis,3.0807879529153475,89.43401692496575,1.2141477209667033,6.2224942100915825,65.06950032156499,183.83826860180412,623.4641196664859,164.7072853737977,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,8,400,3600,3200,2000,2.0,0.0025,8,86.80692935226867
Ni,Metal,Co-Precipitation,32.58857113405438,31.91412182081416,2.30406398987677,6.791113937105351,106.31469595900138,225.24324491908337,436.2298989832871,11.774179970384118,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,5,400,3600,3200,2000,1.25,0.0015625,5,6.867796471441919
Fe,Metal_Oxide,Sol-Gel,3.234313740603822,40.05752651636882,2.39359949795591,8.27460023395013,228.8201888344944,136.82162413112565,707.9678179499558,157.31444939634136,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,2,10,400,3600,3200,2000,2.5,0.003125,10,99.07576731494457
Ni,Composite,CVD,11.408680757602966,65.43962883230002,0.888341149195796,9.95843774808891,248.59111487298708,266.28152723332687,729.8071405529787,46.031850060892225,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,10,400,3600,3200,2000,2.5,0.003125,10,35.54592040918653
Ni,Carbide,Hydrothermal,31.115429478961943,19.184490742442094,4.381038631938198,4.221909350055683,119.91714257263376,193.62048413280377,1088.2302496083887,15.810405999150712,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,12,400,3600,3200,2000,3.0,0.00375,12,11.361156707006755
Ni,Carbide,CVD,7.318576168158612,12.731271871258766,2.6291052813656,10.223757264697863,62.54047275857302,336.34455968933605,874.4683422127528,73.91691783311364,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,5,400,3600,3200,2000,1.25,0.0015625,5,37.635556073595865
Ni,Composite,Co-Precipitation,60.46979217099983,102.32914796644546,4.33391888969173,8.490254821277826,89.42408805268101,58.046870768475536,1009.1210236332471,15.561237647373229,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,10,400,3600,3200,2000,2.5,0.003125,10,0.0
Ni,Metal,Sol-Gel,10.512564982645914,61.66759425127892,1.3126784774796203,11.827960147155014,149.4916770656419,51.96756025235642,946.0430400440911,44.66263805677261,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,9,400,3600,3200,2000,2.25,0.0028125,9,28.08666952895364
Cu,Metal,Green_Synthesis,70.76793613847732,109.20764298867128,0.8616797273407029,8.86050910274279,153.72158161235797,328.6902112415054,404.3112088532789,10.0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,1,2,14,400,3600,3200,2000,3.5,0.004375,14,8.87499874186696
Au,Metal,CVD,7.1589270374617895,17.398671865205603,0.09008323810064833,9.444823542666459,166.7633665060555,250.80535382644496,326.37732156619444,70.2070433309203,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,10,400,3600,3200,2000,2.5,0.003125,10,68.83863532120546
Ni,Metal_Oxide,Green_Synthesis,7.812271690507487,91.86996663726326,0.4693232986325363,4.756879797619526,212.95450882882307,251.4690350834076,384.3294912942429,61.758064082494535,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,2,16,400,3600,3200,2000,4.0,0.005,16,49.94359017390256
Co,Metal_Oxide,Sol-Gel,31.921938105260104,67.05271221209132,0.7373530244330595,9.919757598231326,185.02318412980622,39.09322335265282,261.23736681286755,15.053747489587838,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,2,10,400,3600,3200,2000,2.5,0.003125,10,26.324226713877643
Au,Carbide,CVD,89.8640094469892,9.641799514097256,0.3942778118898477,3.713395599148563,83.68905096306406,339.4328244112374,524.558115841709,10.0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,2,7,400,3600,3200,2000,1.75,0.0021875,7,0.0
Au,Metal,Green_Synthesis,64.85653837488502,82.17549476312055,4.484396475710938,8.908773925693675,113.88491365660009,284.7022684570538,819.2907860346212,13.091228111789825,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,15,400,3600,3200,2000,3.75,0.0046875,15,15.040683466521605
Pd,Composite,Green_Synthesis,77.4728666090341,13.337836932467319,4.557191539708819,3.5001561796383123,213.95873135590304,282.2238898760945,690.675241535724,10.394402162171206,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,14,400,3600,3200,2000,3.5,0.004375,14,30.076075536897036
Cu,Carbide,CVD,15.872106728756394,124.3302424208602,4.686813361375219,4.037032391786371,167.511100886285,330.9367816445244,847.1357615978509,21.89303308231706,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,7,400,3600,3200,2000,1.75,0.0021875,7,31.262045080970445
Ni,Composite,Sol-Gel,83.74429245823009,95.1616623431143,4.799304182878344,3.970796468849317,62.44406085506279,220.79054480980147,491.7082987242545,10.0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,13,400,3600,3200,2000,3.25,0.0040625,13,0.0
Pt,Carbide,Green_Synthesis,2.7983323230350448,83.98816253030681,2.4591750250996913,3.472356583403007,98.24623091807167,160.23990888605607,325.80556524279586,180.35953080009583,1,1,0,0,1,2,0,0,0,0,0,0,0,0,1,2,14,400,3600,3200,2000,3.5,0.004375,14,100.0
Ag,Metal_Oxide,Co-Precipitation,22.8796203718346,20.886881665979196,2.6501231841247512,5.890250252513067,202.9954552969528,188.6241256332152,323.03396332711003,26.128005446251215,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,9,400,3600,3200,2000,2.25,0.0028125,9,41.24794134489872
Fe,Carbide,CVD,62.37704747269936,43.83110991210837,0.6541521428677621,11.949172121122825,63.721177747760635,286.4894320946614,760.9488013773872,10.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,13,400,3600,3200,2000,3.25,0.0040625,13,0.0
Co,Metal_Oxide,Hydrothermal,38.774148042216936,74.4385086731596,0.6852601887602905,6.1340283161538265,180.48639686217538,283.6808942295711,280.724234890573,11.660512008133322,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,9,400,3600,3200,2000,2.25,0.0028125,9,15.960037116980239
Pt,Carbide,Hydrothermal,98.45095238841922,95.35924353231351,3.863782193280338,9.846983220046948,151.79572065210394,231.1635850711527,536.883889536819,10.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,7,400,3600,3200,2000,1.75,0.0021875,7,34.175978828269926
Cu,Metal,Sol-Gel,4.973246188195187,28.30137709258118,4.2786454207087035,4.190853142713905,58.18185394025765,101.96651878671788,334.11601705364865,97.13401608223064,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,10,400,3600,3200,2000,2.5,0.003125,10,45.639210547464295
Ag,Composite,Co-Precipitation,99.86262045778123,2.321075441909886,3.923572153155461,7.090419722389092,179.9977579069607,300.2317501445216,829.0364232018401,13.324553699353888,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,12,400,3600,3200,2000,3.0,0.00375,12,16.173368382974438
Cu,Metal,Green_Synthesis,63.115527620408976,52.36926790312504,4.172879324974765,4.66604252008403,57.02851839741319,243.58971750936487,776.9629226576754,10.0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,6,400,3600,3200,2000,1.5,0.001875,6,0.0
Co,Carbide,Hydrothermal,56.75328547041746,72.9478467288803,1.382851577141499,4.728874530838836,114.64800529967827,103.01646689532004,519.2374634552936,10.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,6,400,3600,3200,2000,1.5,0.001875,6,9.909547584041405
Au,Carbide,Sol-Gel,7.832219371269488,28.480592333923653,2.330328921593678,3.8972103291663416,94.42598301801706,188.61266841992125,241.58927148795567,70.57761627546085,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,2,8,400,3600,3200,2000,2.0,0.0025,8,47.24550368677602
Ag,Carbide,Co-Precipitation,28.786229913257287,74.33266037242566,2.295996916976935,6.888397377251389,180.25223935456543,359.0780891467931,332.9984958913427,17.249534034681723,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,6,400,3600,3200,2000,1.5,0.001875,6,30.19967496787354
Au,Metal_Oxide,Co-Precipitation,92.61694345257638,51.43439292682104,4.976417015708651,3.679814286738025,201.03153023649676,138.36534689653092,619.4299646825665,12.187242353190964,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,2,8,400,3600,3200,2000,2.0,0.0025,8,16.01380644206387
Co,Composite,Sol-Gel,36.71610831254594,68.80836024985476,4.745890100578829,11.188302207200948,62.87123094008053,68.46500287438079,1169.2906668775868,10.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,10,400,3600,3200,2000,2.5,0.003125,10,0.0
Pt,Composite,Sol-Gel,66.84201364579059,52.7712048362105,2.9924305321300304,7.0311028941475895,207.69926708476189,37.150247670775435,397.85223765462376,13.250134000874803,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,6,400,3600,3200,2000,1.5,0.001875,6,42.809387029503384
Co,Carbide,Green_Synthesis,99.95064234103472,94.64170961823322,0.6898656657034669,10.547095272940933,26.623162598775508,90.92867786294175,310.30939259648164,10.169299478151302,1,1,0,0,1,2,0,0,0,0,0,0,0,0,1,1,9,400,3600,3200,2000,2.25,0.0028125,9,0.0
Pt,Carbide,Sol-Gel,27.780831955687034,7.391654638042181,1.2929801931533857,11.81518004734961,144.26317315206992,91.69888100102526,342.75176006770835,10.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,11,400,3600,3200,2000,2.75,0.0034375,11,31.58411213055653
Ag,Metal_Oxide,Green_Synthesis,58.45592614342039,26.464888201696763,1.818807774908679,9.100012609382157,141.27750022180163,313.16258680588413,878.9530497847547,10.0,1,1,0,0,1,2,0,0,0,0,0,0,1,1,1,2,12,400,3600,3200,2000,3.0,0.00375,12,29.591993425357163
Ag,Metal,Green_Synthesis,70.25090368481689,65.47987949753893,4.3660582984671485,11.113596814207561,165.35982191915943,81.53106723517706,1106.1525819350736,10.0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,1,1,7,400,3600,3200,2000,1.75,0.0021875,7,7.864155877908118
Ni,Metal,CVD,18.133470163410685,54.08821061722665,0.853162285316888,4.218307684527021,78.93261932530187,314.67481081988205,182.68878631117443,31.62665251984987,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,11,400,3600,3200,2000,2.75,0.0034375,11,11.977942370773052
Cu,Composite,Co-Precipitation,16.569911242225846,59.35316143711874,1.0987345831405255,10.469942812761921,27.21778673429532,58.616447786236066,924.2173957283402,36.72863279250751,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,12,400,3600,3200,2000,3.0,0.00375,12,0.0
Ni,Metal_Oxide,Co-Precipitation,46.718175342500984,120.76034353719149,1.7469234583491349,5.440955998889783,127.32165613181486,329.1926189507091,644.067347625449,10.0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,2,9,400,3600,3200,2000,2.25,0.0028125,9,0.0
Cu,Carbide,Co-Precipitation,39.809627132410355,133.0634170788575,4.634550943266918,7.253382349579448,41.06639753310726,114.59665563404135,1007.709513371438,12.959366531244603,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,8,400,3600,3200,2000,2.0,0.0025,8,0.0
Ni,Composite,CVD,71.99311281201675,38.05164874113794,2.5190604538819357,8.81924384184899,225.74362453154535,231.794360456767,563.6558550478362,10.0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,2,5,400,3600,3200,2000,1.25,0.0015625,5,3.0695531361636643
Au,Metal_Oxide,Green_Synthesis,8.811859601961451,125.62226798265952,3.2341801829876724,11.131892332816925,64.07492328006401,82.70997097700796,105.73787684447177,53.195992164065636,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,8,400,3600,3200,2000,2.0,0.0025,8,32.453991406018645
Ag,Metal,Green_Synthesis,97.27232912658766,69.35968992826331,1.9361165253508923,11.198944208367678,120.67741768719863,158.71835845229012,851.0760144025284,10.0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,1,2,15,400,3600,3200,2000,3.75,0.0046875,15,0.0
Pt,Metal_Oxide,Sol-Gel,3.399144205211571,41.7992722736469,0.9426105555423336,3.828921394276605,122.65008780408634,58.30337554553832,988.7685746360369,143.1151693223723,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,2,10,400,3600,3200,2000,2.5,0.003125,10,100.0
Cu,Metal,CVD,60.929048784942815,147.8329545796971,1.114002687042401,6.2809993993895255,149.39454576359606,221.244307404758,1092.2232035684701,10.0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,10,400,3600,3200,2000,2.5,0.003125,10,5.523417864293019
Co,Metal_Oxide,Sol-Gel,57.13799439500406,123.89546692369093,4.013356101579396,10.13857686015795,201.06977847333937,144.13957055430203,725.9564180045377,10.0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,2,14,400,3600,3200,2000,3.5,0.004375,14,3.5557820944283236
Cu,Composite,CVD,15.202141625233125,149.14374454389386,4.467410191599192,9.32841200309003,131.2333338644754,311.20952759201276,234.25335136746014,37.90480443183389,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,12,400,3600,3200,2000,3.0,0.00375,12,28.22117032389298
Pt,Metal,Sol-Gel,16.78976630592592,26.060426879809942,2.4653782794657246,3.237172005187452,30.79448512460645,89.99943783874517,506.8181086481114,20.608701213219774,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,2,13,400,3600,3200,2000,3.25,0.0040625,13,20.335109729965325
Ni,Composite,Hydrothermal,79.68239380387342,22.43255841823094,1.7849726372962826,7.0490046455125475,198.49984251439514,122.39606125903288,962.6752696332231,12.482096255589159,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,9,400,3600,3200,2000,2.25,0.0028125,9,6.238436965260396
Cu,Composite,Co-Precipitation,88.98112092444295,76.00331498869166,4.039175682636312,10.463277856112558,43.48899578970059,88.49404353450686,643.8542621028162,13.062479080086938,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,13,400,3600,3200,2000,3.25,0.0040625,13,0.0
Fe,Metal,Co-Precipitation,29.735662656609417,96.15792024514853,3.365473875404639,9.639159936003955,169.34949075824443,216.06151747788996,869.1689369985517,19.789747637183044,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,2,7,400,3600,3200,2000,1.75,0.0021875,7,6.308098197444413
Au,Metal,Green_Synthesis,44.920468468331705,26.487953787469394,0.20436988742816575,6.706648130990904,205.7716394466765,66.87657064162076,105.15865169467895,12.265655858825415,1,1,0,0,1,2,0,0,0,0,0,0,0,0,1,1,15,400,3600,3200,2000,3.75,0.0046875,15,20.791808821532225
Ag,Carbide,Hydrothermal,36.78951402175865,129.20416954519285,1.7537044944140534,9.6164501011208,88.60528880823486,92.48781173608211,180.30257371117932,10.0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,2,9,400,3600,3200,2000,2.25,0.0028125,9,6.711097982416085
Pt,Carbide,Co-Precipitation,9.109607272691886,80.27000832084114,3.4108648911802093,7.960896382229459,126.04895837890703,253.90168133586394,849.2799802934985,58.100720894220245,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,6,400,3600,3200,2000,1.5,0.001875,6,66.96088905415382
Ag,Carbide,Green_Synthesis,67.97401610954932,62.23033314987647,2.868399101454886,11.213660982614577,28.22556449180874,54.55679375686025,419.22206903324525,12.400231542348306,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,9,400,3600,3200,2000,2.25,0.0028125,9,0.0
Fe,Composite,Hydrothermal,82.86890761095763,90.70599726612973,4.890336544231113,8.284144569604894,205.87191990772422,275.24401179117825,527.0053564786806,10.0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,2,6,400,3600,3200,2000,1.5,0.001875,6,0.0
Cu,Composite,Co-Precipitation,31.878177024338296,95.60810323287109,4.330576891126452,6.606607609149313,183.23374523218433,64.4300513978565,806.3462029519411,12.417836627606178,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,9,400,3600,3200,2000,2.25,0.0028125,9,23.45008137893679
